Number of devices,Interaction,Signals,Success rate
1,5451.48,21459.92,100.0
2,8167.21,32149.84,100.0
3,10877.22,42816.88,99.99892341
4,12016.13,47199.48,99.06735537999997
5,12494.09,48938.32,97.72012038999999
6,12985.0,50728.96,96.29043455000001
7,13458.07,52448.2,95.05917391999994
8,13958.07,54275.24,93.62776692999999
9,14426.18,55974.68,92.50286399999997
10,14898.08,57689.32,91.37426808000002
11,15415.23,59584.72,89.91406358999996
12,15908.05,61383.2,88.68678045000004
13,16393.17,63150.68,87.54912971
14,16881.25,64930.0,86.41728534999999
15,17375.43,66733.72,85.27304231999999
16,17900.85,68662.3,83.94459907000002
17,18428.53,70599.8,82.64271817000002
18,18929.73,72431.64,81.55184125999997
19,19424.58,74238.3,80.52833084999996
