Number of devices,Interaction,Signals,Success rate
1,2530.6,9776.4,100.0
2,3793.69,14655.76,100.0
3,5055.58,19530.32,99.99712737
4,5820.23,22415.44,97.68128290000004
5,6369.15,24438.36,94.52696644
6,6894.39,26366.26,91.34477687
7,7450.78,28418.78,88.85058006000001
8,7960.09,30282.78,85.92610200999998
9,8526.81,32376.9,83.99248736999999
10,9084.87,34436.32,82.11955131000002
11,9566.67,36189.92,79.31008418000002
12,10086.15,38095.18,77.23553113
13,10617.35,40047.02,75.46225148
14,11141.57,41970.94,73.71714254
15,11655.08,43852.08,71.93204864999998
16,12126.27,45563.58,69.56217315
17,12596.24,47270.28,67.25721646000001
18,13101.32,49117.78,65.62593403000001
19,13616.57,51005.82,64.21881868999999
