TTL,Interaction,Signals,Success rate
1,2405.47,5974.59,79.57883357000001
2,1781.71,5220.67,79.56051390999998
3,1575.98,4960.06,79.43761002
4,1472.41,4821.61,79.33027349000002
5,1401.74,4725.58,79.33988555999998
6,1366.6,4676.44,79.26269355999997
7,1337.37,4635.29,79.21498374000002
8,1305.25,4587.25,79.35633882
9,1279.63,4550.43,79.38477452999999
10,1264.63,4528.63,79.36231377
11,1259.91,4519.59,79.28772033
12,1254.81,4510.33,79.22061091000002
13,1238.1,4488.1,79.24631392
14,1237.14,4482.74,79.23975141999999
15,1232.63,4476.15,79.17215976
16,1221.49,4460.21,79.23604664
17,1216.02,4453.3,79.19507389000002
18,1218.02,4453.78,79.14360072000002
19,1210.06,4443.66,79.15686154999999
20,1205.87,4435.87,79.22955331000001
21,1206.44,4434.52,79.20426002
22,1201.04,4427.12,79.15418350000003
23,1199.98,4424.06,79.16489046000002
