TTL,Interaction,Signals,Success rate
1,6421.44,12159.01,53.17943504000002
2,5105.64,7865.45,33.29062433
3,4681.93,6578.43,25.567350819999998
4,4475.35,5949.08,21.00988031
5,4355.44,5580.53,18.029483410000005
6,4270.08,5331.39,15.978821370000006
7,4216.42,5163.47,14.4551359
8,4173.74,5035.82,13.295591010000008
9,4139.81,4936.94,12.38856119
10,4112.05,4857.57,11.646004930000004
11,4088.16,4791.81,11.041454170000002
12,4075.31,4745.13,10.53438039
13,4049.59,4690.24,10.101176979999998
14,4050.13,4667.25,9.749338380000003
15,4041.57,4637.61,9.45645828
16,4025.03,4602.86,9.17577716
17,4012.57,4565.41,8.76894491
18,4014.33,4520.03,8.101322190000001
19,3997.06,4460.35,7.434263490000004
20,3992.27,4439.06,7.168281840000002
21,3991.74,4434.52,7.110294780000003
22,3987.04,4427.12,7.08725491
23,3985.77,4424.06,7.05318893
