defaultGU,Interaction,Signals,Success rate
5,15488.06,60741.1,66.56717700999998
10,11834.13,46125.38,66.55867360999997
25,8568.03,33060.94,66.53486408
50,6894.39,26366.26,66.51955796
100,5670.5,21470.46,66.49914979
200,4731.93,17712.14,66.44557837000004
500,3700.36,13470.96,66.43622463000005
1000,2993.26,10229.44,66.34438788999996
2000,2486.54,7700.7,66.34608855999996
4000,2230.6,6421.0,66.34353755999997
7000,2121.98,5877.9,66.36479604999998
10000,2077.72,5656.6,66.38095251000003
20000,2030.56,5420.8,66.17517009000002
40000,2010.4,5320.0,65.92687077000002
50000,2010.46,5320.3,65.75425172000001
