Number of devices,Interaction,Signals,Success rate
1,346.0,378.0,100.0
2,519.0,567.0,100.0
3,782.76,1209.8,93.09821427000004
4,1146.0,2350.0,82.91666663
5,1525.64,3572.2,75.31547620000003
6,1993.12,5233.6,66.15136057999999
7,2496.12,7072.6,57.95684522999998
8,2999.12,8911.6,51.58333332999999
9,3502.12,10750.6,46.48452377
10,4005.12,12589.6,42.31277054
11,4508.12,14428.6,38.83630951
12,5011.12,16267.6,35.89468870999999
13,5514.12,18106.6,33.37329911
14,6017.12,19945.6,31.18809527000001
15,6520.12,21784.6,29.276041669999987
16,7023.12,23623.6,27.588935370000005
17,7526.12,25462.6,26.089285739999983
18,8029.12,27301.6,24.747493709999993
19,8532.12,29140.6,23.53988093
