Number of devices,Interaction,Signals,Success rate
1,3062.22,11902.88,100.0
2,4588.35,17834.4,100.0
3,6111.61,23754.44,99.98363095
4,6896.22,26719.76,88.53809521000001
5,7374.23,28458.88,76.36408730999997
6,7865.16,30249.6,66.56632667999996
7,8338.45,31969.74,60.52976190000001
8,8838.33,33796.3,54.078042280000055
9,9306.42,35495.68,50.808333279999985
10,9778.42,37210.68,47.92099568000001
11,10295.73,39106.72,43.26240076
12,10788.36,40904.38,40.45833327999999
13,11273.58,42672.32,38.36819713999999
14,11761.77,44452.08,36.43769842
15,12256.02,46256.08,34.52306545000001
16,12782.01,48187.0,31.721638580000004
17,13309.32,50122.92,29.183201039999993
18,13810.51,51954.88,27.738408560000003
19,14305.27,53761.06,26.628571430000008
