Number of devices,Interaction,Signals,Success rate
1,814.1,2714.74,100.0
2,1220.47,4068.92,100.0
3,1626.24,5420.06,99.98363095
4,2058.01,6903.36,88.35119047000002
5,2513.0,8503.52,76.16666664999994
6,2993.56,10230.8,66.34523822999996
7,3438.83,11783.04,60.344494019999985
8,3937.32,13599.36,53.850529190000046
9,4373.4,15106.32,50.592857179999974
10,4815.58,16641.9,47.71158004999998
11,5346.54,18620.7,43.091765919999986
12,5830.32,20363.6,40.262820520000005
13,6298.42,22028.1,38.17134342999999
14,6772.14,23720.7,36.24722221000001
15,7259.64,25482.2,34.30729165000002
16,7806.52,27540.6,31.55602236
17,8359.24,29628.2,29.01388891000001
18,8860.66,31459.3,27.542919739999974
19,9347.7,33218.5,26.433035709999984
