Number of devices,Interaction,Signals,Success rate
1,1985.58,7596.32,100.0
2,2976.82,11388.28,100.0
3,3967.02,15176.08,99.98214286000001
4,4630.86,17657.84,88.45952377000002
5,5156.51,19587.52,76.28273808999995
6,5670.5,21470.46,66.49914979
7,6199.77,23414.6,60.450148800000036
8,6706.13,25266.94,54.00396821000001
9,7240.48,27231.38,50.73690473999998
10,7770.17,29177.32,47.830627670000005
11,8263.6,30977.36,43.17708334000001
12,8773.85,32845.64,40.35851645999999
13,9289.7,34736.18,38.271258380000006
14,9802.15,36613.0,36.354365120000004
15,10307.87,38463.06,34.42857142
16,10798.37,40251.46,31.642156799999984
17,11290.32,42046.48,29.08664023000001
18,11793.67,43886.82,27.66510023999998
19,12301.27,45744.44,26.54375001
