Number of devices,Interaction,Signals,Success rate
1,342.0,358.0,100.0
2,513.0,537.0,100.0
3,823.5,1413.5,89.62053569999996
4,1326.5,3252.5,71.81547618
5,1829.5,5091.5,59.94543650000004
6,2332.5,6930.5,51.46683650000002
7,2835.5,8769.5,45.10788689
8,3338.5,10608.5,40.16203710000002
9,3841.5,12447.5,36.20535718000001
10,4344.5,14286.5,32.96807358
11,4847.5,16125.5,30.270337350000013
12,5350.5,17964.5,27.987637339999996
13,5853.5,19803.5,26.03103725
14,6356.5,21642.5,24.335317530000008
15,6859.5,23481.5,22.85156249999999
16,7362.5,25320.5,21.542366590000007
17,7865.5,27159.5,20.37863756000001
18,8368.5,28998.5,19.33740600999999
19,8871.5,30837.5,18.4002976
