Number of devices,Interaction,Signals,Success rate
1,60.0,204.0,100.0
2,90.0,306.0,100.0
3,125.24,406.84,99.98065476
4,979.85,1532.3,88.28214281999999
5,2293.52,3002.86,76.12996033999994
6,4041.57,4637.61,66.2865647
7,5851.0,5908.2,60.32589289000001
8,8368.56,7715.34,53.78042332000002
9,10805.8,9179.1,50.50714285000001
10,13504.93,10630.34,47.692099660000025
11,17133.54,12554.58,43.02331350999999
12,20803.42,14284.99,40.24954216000001
13,24702.2,15969.58,38.14583323000001
14,28921.12,17655.95,36.214285739999994
15,33624.76,19470.68,34.25520841
16,39133.9,21494.98,31.448529380000004
17,45143.7,23640.6,28.95171957000002
18,50998.7,25527.65,27.509711629999998
19,57088.46,27395.3,26.406249930000016
