Number of devices,Interaction,Signals,Success rate
1,40.0,104.0,100.0
2,65.08,158.45,100.0
3,83.18,183.58,99.98363095
4,950.57,1352.05,88.27976187
5,2279.26,2867.06,76.06349202999995
6,4025.18,4535.01,66.27551031
7,5882.84,6003.4,60.291666730000046
8,5299.19,5677.69,72.11044977000003
9,10193.58,8854.4,53.45535716999997
10,13267.04,10605.68,48.76731606000001
11,6817.61,8710.92,80.56498015999999
12,20865.96,14438.57,40.2087912
13,24783.34,16151.42,38.10204072
14,29078.61,17919.3,36.123015819999985
15,33710.2,19676.44,34.21205358
16,39176.68,21674.03,31.437675039999995
17,45268.94,23899.24,28.902447040000006
18,50136.16,25367.78,28.95520046999997
19,16567.44,17948.4,81.72470235999998
