TTL,Interaction,Signals,Success rate
1,6421.44,12159.01,66.26700686999997
2,5105.64,7865.45,66.21938785000002
3,4681.93,6578.43,66.27380965000002
4,4475.35,5949.08,66.28911575999999
5,4355.44,5580.53,66.26700689
6,4270.08,5331.39,66.31632667
7,4216.42,5163.47,66.29421777
8,4173.74,5035.82,66.29931987000003
9,4139.81,4936.94,66.28826539999999
10,4112.05,4857.57,66.29081638000001
11,4088.16,4791.81,66.32057833000005
12,4075.31,4745.13,66.30527222
13,4049.59,4690.24,66.32993212000001
14,4050.13,4667.25,66.30017017
15,4041.57,4637.61,66.2865647
16,4025.03,4602.86,66.31037428999998
17,4012.57,4565.41,66.29761915000002
18,4014.33,4520.03,66.25680281000002
19,3997.06,4460.35,66.26020417000001
20,3992.27,4439.06,66.26360553
21,3991.74,4434.52,66.26360553
22,3987.04,4427.12,66.25085044000001
23,3985.77,4424.06,66.25255112000002
