TTL,Interaction,Signals,Success rate
1,5104.68,5613.93,66.26870759
2,4531.44,5041.42,66.25510215000003
3,4331.45,4841.36,66.26360555000002
4,4237.68,4747.57,66.25935384000003
5,4178.33,4688.26,66.26105452000003
6,4147.03,4657.06,66.26615651000002
7,4115.61,4625.47,66.27040824000001
8,4099.91,4609.9,66.25425180000002
9,4087.72,4606.07,66.23554432
10,4070.64,4585.56,66.23214293000002
11,4052.63,4563.41,66.27806131
12,4045.14,4555.01,66.27551026
13,4034.23,4544.14,66.26615654
14,4029.85,4539.67,66.27465993000001
15,4025.18,4535.01,66.27551031
16,4022.99,4533.3,66.25850350000002
17,4022.91,4549.91,66.31037427000003
18,4026.36,4584.38,66.30017017000002
19,4022.05,4587.68,66.2585035
20,4021.16,4587.08,66.26020417000001
21,4022.04,4587.98,66.26020416000001
22,4014.22,4580.17,66.26190484000001
23,4011.31,4576.47,66.27210893
